Cliente,Database,Totale Fatture,Data Attivazione,Data rilevazione
AGL,agl,1000,01/08/2019,04/08/2020
Alphaservice,alphaservice,2000,01/01/2021,14/06/2022
Came srl,cameprinting,1000,01/01/2020,04/08/2020
Copy Service srl,copyservice,7000,01/01/2019,14/06/2022
Forpress,forpress,9000,01/01/2020,14/06/2022
Futuro,futuro,2000,01/01/2021,01/12/2021
Green Hub srl,greenhub,100,01/01/2019,10/12/2019
Impronta Digitale srl,improntadigitale,6000,01/01/2019,14/06/2022
Leonardo,leonardo,7000,01/05/2019,23/02/2021
Locopress,locopress,1000,01/01/2021,05/02/2021
Nuova Carrozzeria Lux,carrozzerialux,50,01/01/2019,10/12/2019
Oplaprint,oplaprint,1000,01/01/2020,14/06/2022
Pointec srl,pointec,4000,01/01/2019,22/06/2020
PrintIdeas,printideas,3000,01/01/2020,14/06/2022
Servizi Grafici srl,servizigrafici,4000,01/01/2019,14/06/2022
SHS-AV srl,zi10010009,300,01/01/2019,01/12/2021
Tipitalia,tipitalia,1000,01/01/2020,05/02/2021
Vampigroup srl,vampigroup10,5000,01/01/2020,14/06/2022
Zavixtech,zavixtech,7000,01/03/2019,14/06/2022
