Cliente,Database,Totale Fatture,Data Attivazione,Data rilevazione
AGL,agl,1000,01/08/2019,04/08/2020
Alphaservice,alphaservice,3000,01/01/2021,30/09/2023
Came srl,cameprinting,1000,01/01/2020,04/08/2020
Copy Service srl,copyservice,10000,01/01/2019,30/09/2023
Forpress,forpress,9000,01/01/2020,30/09/2023
Futuro,futuro,2000,01/01/2021,01/12/2021
Gallo Arti Grafiche,galloartigrafiche,3000,01/03/2023,30/09/2023
Green Hub srl,greenhub,1,01/01/2019,10/12/2019
Impronta Digitale srl,improntadigitale,7000,01/01/2019,30/09/2023
Leonardo,leonardo,6100,01/05/2019,23/02/2021
Locopress,locopress,100,01/01/2021,05/02/2021
Nuova Carrozzeria Lux,carrozzerialux,1,01/01/2019,10/12/2019
Oplaprint,oplaprint,1000,01/01/2020,14/06/2022
Pointec srl,pointec,4000,01/01/2019,22/06/2020
PrintIdeas,printideas,3000,01/01/2020,14/06/2022
Servizi Grafici srl,servizigrafici,7000,01/01/2019,30/09/2023
SHS-AV srl,shs-av,500,01/01/2019,30/09/2023
Tipitalia,tipitalia,1200,01/01/2020,05/02/2021
Vampigroup srl,vampigroup,5600,01/01/2020,30/09/2023
Zavixtech,zavixtech,11000,01/03/2019,30/09/2023
