Cliente,Database,Totale Fatture,Data Attivazione,Data rilevazione
AGL,agl,1000,01/08/2019,04/08/2020
Alphaservice,alphaservice,2000,01/01/2021,14/06/2022
Came srl,cameprinting,1000,01/01/2020,04/08/2020
Copy Service srl,copyservice,9000,01/01/2019,14/06/2022
Forpress,forpress,9000,01/01/2020,14/06/2022
Futuro,futuro,2000,01/01/2021,01/12/2021
Gallo Arti Grafiche,galloartigrafiche,1000,01/03/2023,31/12/2023
Green Hub srl,greenhub,1,01/01/2019,10/12/2019
Impronta Digitale srl,improntadigitale,6000,01/01/2019,14/06/2022
Leonardo,leonardo,6100,01/05/2019,23/02/2021
Locopress,locopress,100,01/01/2021,05/02/2021
Nuova Carrozzeria Lux,carrozzerialux,1,01/01/2019,10/12/2019
Oplaprint,oplaprint,1000,01/01/2020,14/06/2022
Pointec srl,pointec,4000,01/01/2019,22/06/2020
PrintIdeas,printideas,3000,01/01/2020,14/06/2022
Servizi Grafici srl,servizigrafici,6000,01/01/2019,14/06/2022
SHS-AV srl,zi10010009,500,01/01/2019,01/12/2021
Tipitalia,tipitalia,1200,01/01/2020,05/02/2021
Vampigroup srl,vampigroup10,5600,01/01/2020,14/06/2022
Zavixtech,zavixtech,10000,01/03/2019,14/06/2022
